timestamp,admissions,discharges,staff_count,flu_cases,bed_occupancy
2019-01-01 00:00:00,28,26,47,5,85.06
2019-01-01 01:00:00,24,23,48,4,85.26
2019-01-01 02:00:00,18,16,47,4,75.86
2019-01-01 03:00:00,25,23,52,5,88.9
2019-01-01 04:00:00,24,21,40,5,76.99
2019-01-01 05:00:00,20,17,47,3,84.0
2019-01-01 06:00:00,24,24,55,5,73.98
2019-01-01 07:00:00,21,17,52,4,84.41
2019-01-01 08:00:00,23,23,51,6,79.1
2019-01-01 09:00:00,26,23,47,7,80.94
2019-01-01 10:00:00,17,17,45,2,84.29
2019-01-01 11:00:00,25,24,46,5,84.25
2019-01-01 12:00:00,24,23,45,5,84.02
2019-01-01 13:00:00,35,33,48,6,70.84
2019-01-01 14:00:00,22,22,49,4,79.77
2019-01-01 15:00:00,24,24,38,6,86.8
2019-01-01 16:00:00,21,18,40,6,79.53
2019-01-01 17:00:00,17,17,40,1,87.94
2019-01-01 18:00:00,23,21,42,7,86.2
2019-01-01 19:00:00,27,24,44,2,79.97
2019-01-01 20:00:00,32,30,46,11,79.9
2019-01-01 21:00:00,23,22,47,4,70.4
2019-01-01 22:00:00,20,17,49,3,82.22
2019-01-01 23:00:00,23,19,46,8,77.87
2019-01-02 00:00:00,16,14,44,3,73.56
2019-01-02 01:00:00,21,17,40,3,90.38
2019-01-02 02:00:00,18,14,42,5,78.81
2019-01-02 03:00:00,34,32,42,8,91.37
2019-01-02 04:00:00,19,16,48,3,73.11
2019-01-02 05:00:00,28,24,47,2,74.23
2019-01-02 06:00:00,19,16,46,5,84.25
2019-01-02 07:00:00,18,14,47,3,86.19
2019-01-02 08:00:00,24,22,44,8,92.01
2019-01-02 09:00:00,31,31,42,10,76.69
2019-01-02 10:00:00,26,23,36,3,81.22
2019-01-02 11:00:00,21,17,42,2,89.26
2019-01-02 12:00:00,24,24,37,5,78.36
2019-01-02 13:00:00,26,26,46,7,81.75
2019-01-02 14:00:00,34,34,39,6,71.3
2019-01-02 15:00:00,26,24,43,6,87.18
2019-01-02 16:00:00,25,23,43,2,96.66
2019-01-02 17:00:00,30,28,33,4,77.49
2019-01-02 18:00:00,33,31,35,9,95.68
2019-01-02 19:00:00,26,23,48,7,87.96
2019-01-02 20:00:00,23,19,45,11,87.87
2019-01-02 21:00:00,26,23,51,8,83.27
2019-01-02 22:00:00,22,22,47,3,80.71
2019-01-02 23:00:00,17,13,42,2,85.46
2019-01-03 00:00:00,20,16,34,3,84.22
2019-01-03 01:00:00,25,25,48,4,68.31
2019-01-03 02:00:00,19,18,52,5,82.04
2019-01-03 03:00:00,23,19,34,5,92.15
2019-01-03 04:00:00,20,17,45,4,85.38
2019-01-03 05:00:00,19,15,43,3,75.46
2019-01-03 06:00:00,27,27,34,8,78.12
2019-01-03 07:00:00,32,32,38,2,86.52
2019-01-03 08:00:00,19,16,46,1,84.45
2019-01-03 09:00:00,24,24,52,4,86.42
2019-01-03 10:00:00,20,16,45,5,85.5
2019-01-03 11:00:00,28,26,45,4,87.53
2019-01-03 12:00:00,26,23,44,3,85.38
2019-01-03 13:00:00,16,16,48,4,81.41
2019-01-03 14:00:00,29,28,42,8,84.39
2019-01-03 15:00:00,25,24,46,2,68.46
2019-01-03 16:00:00,24,22,53,2,77.82
2019-01-03 17:00:00,21,17,39,2,87.19
2019-01-03 18:00:00,33,31,45,7,73.05
2019-01-03 19:00:00,30,26,43,6,88.44
2019-01-03 20:00:00,21,20,43,7,81.33
2019-01-03 21:00:00,15,15,42,6,75.04
2019-01-03 22:00:00,32,30,44,7,81.98
2019-01-03 23:00:00,35,35,44,6,74.86
2019-01-04 00:00:00,22,21,42,4,84.58
2019-01-04 01:00:00,28,24,47,2,89.66
2019-01-04 02:00:00,25,25,43,3,79.71
2019-01-04 03:00:00,33,32,42,4,89.04
2019-01-04 04:00:00,26,23,41,7,86.23
2019-01-04 05:00:00,25,23,48,4,84.77
2019-01-04 06:00:00,21,17,37,3,85.86
2019-01-04 07:00:00,21,17,46,2,80.66
2019-01-04 08:00:00,24,21,47,6,82.62
2019-01-04 09:00:00,14,12,33,3,82.39
2019-01-04 10:00:00,32,32,40,5,80.4
2019-01-04 11:00:00,24,23,49,9,78.58
2019-01-04 12:00:00,32,31,55,6,79.05
2019-01-04 13:00:00,26,26,41,6,71.48
2019-01-04 14:00:00,20,20,40,9,73.98
2019-01-04 15:00:00,26,24,41,4,79.21
2019-01-04 16:00:00,29,26,47,9,75.45
2019-01-04 17:00:00,26,25,45,2,82.62
2019-01-04 18:00:00,29,26,45,10,89.17
2019-01-04 19:00:00,20,18,48,6,78.97
2019-01-04 20:00:00,29,29,53,9,85.9
2019-01-04 21:00:00,27,26,35,4,87.38
2019-01-04 22:00:00,20,17,48,1,75.22
2019-01-04 23:00:00,19,15,50,6,82.8
2019-01-05 00:00:00,26,25,48,8,73.72
2019-01-05 01:00:00,22,18,43,6,70.18
2019-01-05 02:00:00,19,15,51,2,85.01
2019-01-05 03:00:00,26,22,42,3,76.35
2019-01-05 04:00:00,26,22,46,5,72.54
2019-01-05 05:00:00,21,20,39,3,81.48
2019-01-05 06:00:00,20,16,44,3,80.63
2019-01-05 07:00:00,17,16,51,5,78.92
2019-01-05 08:00:00,25,25,50,6,81.81
2019-01-05 09:00:00,28,25,47,5,88.23
2019-01-05 10:00:00,20,17,57,3,81.9
2019-01-05 11:00:00,21,18,49,5,84.87
2019-01-05 12:00:00,24,24,42,3,79.36
2019-01-05 13:00:00,21,18,46,3,79.81
2019-01-05 14:00:00,30,30,45,6,82.76
2019-01-05 15:00:00,22,20,41,5,76.77
2019-01-05 16:00:00,27,26,45,6,79.31
2019-01-05 17:00:00,21,19,45,2,72.09
2019-01-05 18:00:00,24,24,49,4,71.23
2019-01-05 19:00:00,29,25,51,7,84.17
2019-01-05 20:00:00,17,17,38,6,85.17
2019-01-05 21:00:00,28,27,47,5,79.87
2019-01-05 22:00:00,26,24,46,4,82.03
2019-01-05 23:00:00,34,34,50,3,86.67
2019-01-06 00:00:00,19,18,42,3,82.24
2019-01-06 01:00:00,32,28,43,7,86.1
2019-01-06 02:00:00,32,30,46,7,80.04
2019-01-06 03:00:00,30,28,46,6,80.27
2019-01-06 04:00:00,32,29,48,6,72.96
2019-01-06 05:00:00,30,28,50,7,91.01
2019-01-06 06:00:00,21,18,43,8,85.83
2019-01-06 07:00:00,19,17,40,6,73.06
2019-01-06 08:00:00,29,27,40,3,81.17
2019-01-06 09:00:00,29,29,51,7,88.48
2019-01-06 10:00:00,24,20,40,5,80.85
2019-01-06 11:00:00,24,20,49,5,89.69
2019-01-06 12:00:00,22,20,34,7,96.95
2019-01-06 13:00:00,24,22,48,4,81.0
2019-01-06 14:00:00,27,24,44,9,76.85
2019-01-06 15:00:00,20,16,48,4,75.71
2019-01-06 16:00:00,22,22,43,5,85.15
2019-01-06 17:00:00,20,16,44,2,82.95
