Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
2,300.8,312.0,1443,53.3,151,0
1,300.8,312.0,1374,50.2,154,0
2,300.9,312.1,1851,23.0,156,0
2,300.8,312.0,1274,67.3,159,0
1,300.9,312.0,1533,44.0,162,0
1,300.8,312.0,1477,37.3,164,0
1,300.9,312.1,1462,46.0,166,0
2,301.0,312.1,1664,28.4,168,0
1,300.8,311.9,1414,41.1,171,0
0,300.9,312.0,2129,17.8,173,0
1,300.8,311.8,1323,61.1,178,0
1,300.8,311.8,1427,43.3,180,0
2,300.9,312.0,1375,56.1,182,0
2,300.9,312.0,1402,50.7,185,0
1,300.9,312.0,1500,44.2,188,0
2,301.0,312.0,1558,37.5,190,0
2,300.9,312.0,1447,41.4,193,0
1,301.0,312.0,1518,39.3,196,0
1,301.0,311.9,1889,23.5,198,0
1,301.0,312.1,1675,30.7,200,0
0,300.9,312.0,1720,27.9,202,0
2,301.0,312.0,1499,34.6,207,0
1,300.9,312.0,1441,43.8,210,0
0,300.9,312.0,1397,42.7,212,0
1,300.9,312.0,1493,38.7,217,0
2,300.8,312.0,1422,50.7,219,0
1,300.7,311.9,1399,50.2,222,1
1,300.6,311.9,1425,44.9,224,0
1,300.6,311.8,1501,44.8,226,0
2,300.6,311.9,1629,35.3,0,0
1,300.6,312.0,1490,42.2,3,0
1,300.7,312.0,1550,32.4,5,0
1,300.8,312.0,1416,46.5,7,0
1,300.7,311.9,1485,38.8,9,0
1,300.7,311.8,1564,36.8,11,0
1,300.7,311.7,1910,19.7,13,0
1,300.7,311.7,1460,46.1,15,0
1,300.7,311.8,1603,34.1,17,0
1,300.7,311.8,1486,47.3,19,0
1,300.8,311.9,1560,31.8,21,0
1,300.8,311.9,1498,39.3,23,0
0,300.8,311.9,1431,48.5,25,0
1,300.8,311.9,1486,45.1,30,0
1,300.7,311.9,1486,35.8,32,0
1,300.7,311.8,1441,38.1,34,0
2,300.7,311.9,1366,55.1,36,0
1,300.6,311.8,1471,41.4,39,0
1,300.6,311.9,1463,38.2,41,0
1,300.6,311.9,1413,41.3,43,0
0,300.6,311.9,1604,30.5,45,0
1,300.7,312.0,1401,51.1,50,0
1,300.6,311.8,1652,27.2,52,0
1,300.5,311.9,1403,45.7,54,0
1,300.5,311.9,1887,21.7,56,0
1,300.4,311.8,1405,47.9,58,0
0,300.2,311.6,1496,41.1,60,0
1,300.1,311.5,1499,43.4,65,0
1,300.2,311.5,1549,37.2,67,0
1,300.3,311.6,1515,44.9,69,0
1,300.2,311.6,1540,37.7,71,0
0,300.2,311.5,1426,44.3,73,0
2,300.2,311.6,1465,41.4,78,0
2,300.3,311.6,1359,54.1,81,0
2,300.3,311.7,1551,36.4,84,0
1,300.5,311.8,1596,34.8,87,0
2,300.5,311.9,1670,26.3,89,0
1,300.4,311.9,1868,21.3,92,0
2,300.6,312.0,1490,39.8,94,0
2,300.5,311.9,1676,35.2,97,0
2,300.5,311.9,1875,22.1,100,0
2,300.5,312.0,1867,23.0,103,0
1,300.5,312.0,1646,29.5,106,0
0,300.5,312.0,1375,43.2,108,0
1,300.5,312.0,1558,36.7,113,0
1,300.4,312.0,1631,34.9,115,0
1,300.4,312.0,1366,43.0,117,0
1,300.3,311.8,1360,48.0,119,0
1,300.3,311.8,1547,39.7,121,0
1,300.3,311.7,1571,31.2,123,0
1,300.2,311.5,1528,36.1,125,0
0,300.2,311.5,1432,43.6,127,0
1,300.2,311.6,1356,53.5,132,0
0,300.1,311.5,1422,46.2,134,0
1,300.1,311.4,1438,42.2,139,0
1,300.2,311.4,1483,44.4,141,0
1,300.2,311.4,1331,49.8,143,0
1,300.2,311.4,1463,37.5,145,0
1,300.1,311.4,1446,40.6,147,0
